epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.801,1.55745,4.01652,1.1915,0.00349,0.04206,0.00285,0.00108,1.37767,3.9718,0.96895,3.75e-05,3.75e-05,3.75e-05
2,34.7202,1.57155,3.84058,1.1926,0.01128,0.05287,0.00809,0.00337,1.34589,3.95638,0.94518,8.66338e-05,8.66338e-05,8.66338e-05
3,36.5095,1.56886,3.50991,1.18273,0.02859,0.05557,0.03204,0.01226,1.38308,3.88283,0.94464,0.000134777,0.000134777,0.000134777
4,37.7194,1.5216,2.61339,1.15854,0.06851,0.09341,0.06596,0.03349,1.41319,3.71714,0.9491,0.000181931,0.000181931,0.000181931
5,38.8751,1.58269,2.33037,1.12431,0.09802,0.15287,0.12283,0.06954,1.42288,3.63697,0.94983,0.000228095,0.000228095,0.000228095
6,40.0265,1.61425,2.13516,1.1442,0.11642,0.25498,0.18872,0.10027,1.45648,3.3824,0.95834,0.000273269,0.000273269,0.000273269
7,41.2309,1.44943,1.76182,1.08207,0.11145,0.27255,0.20659,0.11328,1.43022,3.06104,0.95902,0.000317452,0.000317452,0.000317452
8,42.3834,1.47717,1.91746,1.14623,0.10767,0.29493,0.20773,0.11993,1.40619,2.85159,0.94594,0.000360646,0.000360646,0.000360646
9,43.5292,1.42269,1.70528,1.06125,0.105,0.2766,0.1987,0.11431,1.34758,2.8768,0.94281,0.00040285,0.00040285,0.00040285
10,44.6416,1.37376,1.53371,1.0625,0.09589,0.28336,0.20684,0.11688,1.40619,2.73066,0.96178,0.000444064,0.000444064,0.000444064
11,45.7847,1.35482,1.58224,1.05825,0.07991,0.40355,0.21434,0.117,1.42249,2.42261,0.97079,0.000484288,0.000484288,0.000484288
12,47.5177,1.39615,1.50365,1.06085,0.08099,0.53626,0.22155,0.12754,1.36628,2.32331,0.9709,0.000523521,0.000523521,0.000523521
13,49.5068,1.49236,1.50028,1.07351,0.44957,0.23705,0.22896,0.1252,1.39064,2.22441,0.96911,0.000561765,0.000561765,0.000561765
14,50.8728,1.34536,1.47448,1.0667,0.42232,0.37787,0.21994,0.12491,1.41406,2.19702,0.97792,0.000599019,0.000599019,0.000599019
15,51.9864,1.32842,1.37852,1.03081,0.44459,0.19054,0.22591,0.13233,1.38271,2.06553,0.96815,0.000635282,0.000635282,0.000635282
16,53.1843,1.38476,1.37498,1.07672,0.70279,0.19156,0.23336,0.13755,1.36494,1.88112,0.96019,0.000670556,0.000670556,0.000670556
17,54.3528,1.33735,1.31429,1.02988,0.44098,0.20551,0.23457,0.13802,1.39045,1.68434,0.96514,0.00070484,0.00070484,0.00070484
18,55.5345,1.3241,1.31032,1.05999,0.69167,0.22297,0.24713,0.13829,1.48627,1.5701,0.99513,0.000738134,0.000738134,0.000738134
19,56.7297,1.33155,1.32324,1.07327,0.44455,0.21757,0.24946,0.14311,1.4121,1.60247,0.99265,0.000770438,0.000770438,0.000770438
20,57.9394,1.2465,1.24389,0.98934,0.43875,0.21351,0.24446,0.14308,1.38287,1.60495,0.98455,0.000801751,0.000801751,0.000801751
21,59.1101,1.35449,1.26811,1.03412,0.44674,0.23164,0.25095,0.13907,1.47179,1.59127,0.99477,0.000832075,0.000832075,0.000832075
22,60.3362,1.32953,1.28231,1.05903,0.43428,0.20946,0.25618,0.1412,1.50859,1.61912,0.99411,0.000861409,0.000861409,0.000861409
23,62.1152,1.4207,1.31434,1.09768,0.43337,0.20453,0.2496,0.14185,1.45252,1.63663,0.98676,0.000889753,0.000889753,0.000889753
24,63.8098,1.27198,1.30453,1.0566,0.43319,0.2038,0.28015,0.14959,1.45563,1.65115,0.98957,0.000917106,0.000917106,0.000917106
25,65.2518,1.2753,1.29963,0.99351,0.79576,0.22584,0.29386,0.16596,1.4368,1.58107,0.99303,0.00094347,0.00094347,0.00094347
26,66.4045,1.28025,1.28206,1.04882,0.734,0.22261,0.29223,0.16848,1.43999,1.58922,0.99153,0.000940625,0.000940625,0.000940625
27,67.5477,1.29699,1.24849,1.03236,0.73577,0.24376,0.30166,0.16984,1.44848,1.67461,0.99207,0.00092825,0.00092825,0.00092825
28,68.8411,1.26147,1.1901,1.01809,0.63246,0.24511,0.29974,0.18183,1.44718,1.69999,0.99601,0.000915875,0.000915875,0.000915875
29,70.0255,1.30227,1.2741,1.0712,0.37319,0.26074,0.31263,0.18024,1.4804,1.55425,1.01384,0.0009035,0.0009035,0.0009035
30,71.2233,1.28366,1.26803,1.06959,0.38403,0.281,0.31508,0.18669,1.47187,1.42272,1.01178,0.000891125,0.000891125,0.000891125
31,72.3797,1.37233,1.18267,0.99973,0.38643,0.28776,0.31504,0.18604,1.4591,1.345,0.99922,0.00087875,0.00087875,0.00087875
32,73.5196,1.28028,1.23717,1.01389,0.44402,0.28448,0.33668,0.1927,1.46823,1.33773,1.0006,0.000866375,0.000866375,0.000866375
