epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,749.456,1.52927,1.68213,1.02531,0.67987,0.59065,0.63804,0.38035,1.26271,1.39579,1.33189,0.000410798,0.000410798,0.000410798
2,776.336,1.35915,1.16122,0.95389,0.80947,0.55995,0.6529,0.39568,1.20037,1.41606,1.31068,0.000823369,0.000823369,0.000823369
3,802.21,1.31601,1.05607,0.94638,0.76616,0.64446,0.71088,0.42142,1.07418,1.13823,1.06853,0.00123181,0.00123181,0.00123181
4,828.575,1.31632,0.96936,0.93209,0.75645,0.69859,0.75841,0.45959,1.02003,1.00598,1.08842,0.00123144,0.00123144,0.00123144
5,855.387,1.23905,0.90417,0.92453,0.73394,0.69972,0.7457,0.46224,1.07486,0.98771,1.11797,0.00122525,0.00122525,0.00122525
6,882.569,1.27428,0.88858,0.93051,0.73356,0.66875,0.72467,0.42712,1.18483,0.87218,1.22666,0.00121906,0.00121906,0.00121906
7,909.166,1.25564,0.85792,0.92804,0.75702,0.71413,0.77254,0.47039,0.96891,1.18005,1.01885,0.00121287,0.00121287,0.00121287
8,935.727,1.22082,0.8208,0.91857,0.72436,0.63809,0.72955,0.43304,1.18673,1.65258,1.11674,0.00120669,0.00120669,0.00120669
9,962.051,1.20935,0.79617,0.90617,0.7536,0.73902,0.79483,0.49506,0.91583,0.79571,0.96587,0.0012005,0.0012005,0.0012005
10,987.708,1.19678,0.76146,0.90665,0.76805,0.70154,0.80327,0.50555,1.04471,0.96234,1.0657,0.00119431,0.00119431,0.00119431
11,1013.59,1.18908,0.74928,0.90625,0.8315,0.74789,0.82782,0.51565,0.92347,0.77807,0.95659,0.00118812,0.00118812,0.00118812
12,1040.41,1.19192,0.75194,0.90746,0.81005,0.77312,0.82584,0.49096,1.0479,0.85785,1.02011,0.00118194,0.00118194,0.00118194
13,1067.48,1.19952,0.73715,0.90716,0.82089,0.82808,0.85429,0.52807,1.00128,0.99912,1.02206,0.00117575,0.00117575,0.00117575
14,1094.75,1.1567,0.71395,0.8948,0.8105,0.76975,0.81959,0.51507,0.91316,0.79015,0.97422,0.00116956,0.00116956,0.00116956
15,1121.76,1.17486,0.72589,0.89966,0.81346,0.7699,0.8359,0.51051,1.11277,0.92239,1.17916,0.00116337,0.00116337,0.00116337
16,1147.47,1.15537,0.70847,0.89901,0.71137,0.7435,0.81044,0.50256,1.12815,0.81678,1.17208,0.00115719,0.00115719,0.00115719
17,1173.34,1.20151,0.71375,0.90743,0.84802,0.74389,0.84692,0.52287,0.98074,0.67369,1.01708,0.001151,0.001151,0.001151
18,1200.3,1.17478,0.70202,0.89553,0.86832,0.72433,0.81417,0.49803,1.06786,0.69573,1.0951,0.00114481,0.00114481,0.00114481
