epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.038,1.49482,2.26567,0.97376,0.99621,0.11711,0.38634,0.22265,1.24882,2.62662,1.30634,0.000410798,0.000410798,0.000410798
2,579.521,1.36894,1.26166,0.93401,0.75294,0.42753,0.47284,0.29718,1.21868,1.44615,1.42429,0.000823369,0.000823369,0.000823369
3,607.625,1.35665,1.17741,0.94291,0.82879,0.44912,0.51525,0.31735,1.09408,1.31455,1.11769,0.00123181,0.00123181,0.00123181
4,635.51,1.33144,1.06733,0.92761,0.66907,0.56964,0.63776,0.36231,1.2142,1.12516,1.24948,0.00123144,0.00123144,0.00123144
5,663.228,1.29026,0.99159,0.92505,0.67022,0.65988,0.69628,0.43642,1.06377,0.906,1.27153,0.00122525,0.00122525,0.00122525
6,691.379,1.28479,0.92382,0.92319,0.76933,0.59612,0.67888,0.40636,1.04777,1.05777,1.03587,0.00121906,0.00121906,0.00121906
7,719.568,1.30222,0.90042,0.92745,0.71714,0.70277,0.74113,0.45596,1.00428,0.98957,1.05854,0.00121287,0.00121287,0.00121287
8,748.166,1.2283,0.8435,0.90968,0.76456,0.67293,0.76543,0.45973,1.11162,0.99999,1.17637,0.00120669,0.00120669,0.00120669
9,776.598,1.21517,0.83461,0.90976,0.82082,0.7326,0.78473,0.4672,1.10587,0.89258,1.15996,0.0012005,0.0012005,0.0012005
10,805.019,1.21238,0.80157,0.90649,0.82601,0.73117,0.83199,0.51807,1.03309,0.86698,1.1315,0.00119431,0.00119431,0.00119431
11,833.54,1.20357,0.78236,0.90618,0.78338,0.6828,0.81643,0.47881,1.01772,0.84306,1.04993,0.00118812,0.00118812,0.00118812
12,861.912,1.2225,0.77388,0.91032,0.82708,0.75661,0.83448,0.53427,0.99979,0.6761,1.04041,0.00118194,0.00118194,0.00118194
13,891.003,1.19177,0.74893,0.89917,0.83974,0.81099,0.8525,0.50804,0.93507,0.70512,0.93662,0.00117575,0.00117575,0.00117575
14,918.442,1.19831,0.73611,0.89619,0.71493,0.73602,0.80086,0.46502,1.01923,0.93209,0.97337,0.00116956,0.00116956,0.00116956
15,945.66,1.22954,0.73778,0.89993,0.81644,0.79867,0.86181,0.52402,0.86807,0.64858,0.92502,0.00116337,0.00116337,0.00116337
16,973.891,1.15706,0.69075,0.89271,0.77134,0.75678,0.82372,0.50089,1.08484,0.69906,1.16196,0.00115719,0.00115719,0.00115719
17,1002.06,1.21083,0.7149,0.90336,0.79292,0.81368,0.8351,0.52776,1.00817,0.66883,1.08388,0.001151,0.001151,0.001151
18,1029.72,1.15002,0.68597,0.88785,0.82626,0.78836,0.86233,0.54015,0.93006,0.62187,0.9588,0.00114481,0.00114481,0.00114481
19,1057.89,1.16886,0.70054,0.89945,0.80338,0.77177,0.84173,0.52273,1.01235,0.71352,1.02375,0.00113863,0.00113863,0.00113863
20,1085.67,1.14196,0.69198,0.89162,0.83497,0.75633,0.83779,0.49152,1.03053,0.92642,0.99436,0.00113244,0.00113244,0.00113244
21,1113.82,1.13894,0.67203,0.88669,0.80807,0.74772,0.82411,0.5167,0.99748,0.85991,0.98677,0.00112625,0.00112625,0.00112625
22,1141.35,1.13152,0.68239,0.88936,0.88121,0.78622,0.87266,0.54688,0.98219,0.6677,0.9897,0.00112006,0.00112006,0.00112006
23,1168.72,1.14358,0.6646,0.88763,0.88716,0.73988,0.84057,0.52777,0.94986,0.7681,1.02537,0.00111388,0.00111388,0.00111388
24,1196.2,1.11976,0.65705,0.89744,0.87304,0.78079,0.85806,0.54424,1.03135,0.72901,1.04697,0.00110769,0.00110769,0.00110769
25,1223.08,1.12343,0.65715,0.89039,0.80764,0.81015,0.85785,0.56029,0.87122,0.56623,0.95688,0.0011015,0.0011015,0.0011015
26,1249.74,1.13944,0.65225,0.88282,0.81049,0.83573,0.88132,0.57487,0.85033,0.58869,0.91269,0.00109531,0.00109531,0.00109531
27,1277.24,1.09605,0.62397,0.88204,0.88752,0.72424,0.84651,0.55961,0.80891,0.54425,0.89937,0.00108913,0.00108913,0.00108913
28,1304.5,1.10941,0.62877,0.88518,0.83914,0.81897,0.8828,0.54851,0.97336,0.63974,0.98203,0.00108294,0.00108294,0.00108294
29,1331.89,1.10443,0.62961,0.87821,0.87948,0.78803,0.87509,0.56833,0.87692,0.5973,0.91767,0.00107675,0.00107675,0.00107675
30,1359.22,1.11133,0.63213,0.87674,0.87666,0.78415,0.88766,0.55953,0.83626,0.51354,0.90007,0.00107056,0.00107056,0.00107056
